id	alpha_mon	beta_mon	gamma_mon	LL_mon	r2_adj_mon	AIC_mon	BIC_mon	model_mon	exitFlag_mon	optimizer_mon
109223	0.178700	3.930000	-1.714642	-7.821289	0.769720	21.642579	27.318040	ambigNrisk	1.000000	fminsearch
251313	0.178700	-0.776736	-7.415788	-8.458065	0.750971	22.916129	28.591590	ambigNrisk	1.000000	fminsearch
263822	0.391687	1.100154	-56.592146	-0.000200	0.999994	6.000400	11.675861	ambigNrisk	1.000000	fminsearch
1262701	0.687768	1.087318	-0.073544	-12.463429	0.633042	30.926859	36.602320	ambigNrisk	1.000000	fminunc
2053190	0.928978	0.895414	-0.009018	-21.688776	0.361423	49.377552	55.053013	ambigNrisk	1.000000	fminunc
2190338	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
2987669	0.898765	0.982275	-0.017397	-14.665639	0.568203	35.331277	41.006738	ambigNrisk	1.000000	fminunc
3015396	0.178700	3.930000	-0.999160	-12.566016	0.630022	31.132032	36.807492	ambigNrisk	1.000000	fminsearch
3056693	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
3541169	0.491895	0.381658	-0.290002	-15.529349	0.542773	37.058699	42.734160	ambigNrisk	1.000000	fminunc
3874224	0.686119	0.386548	-0.059519	-21.591461	0.364288	49.182921	54.858382	ambigNrisk	1.000000	fminunc
4137270	0.335070	0.270169	-0.869228	-12.300801	0.637831	30.601602	36.277063	ambigNrisk	1.000000	fminunc
4553783	0.639810	0.178422	-0.186809	-9.945072	0.707190	25.890144	31.565605	ambigNrisk	1.000000	fminunc
4659692	0.686182	0.252112	-0.141877	-9.521150	0.719671	25.042301	30.717761	ambigNrisk	1.000000	fminunc
4808624	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
4868303	0.344945	0.057256	-0.215342	-30.971627	0.088110	67.943254	73.618714	ambigNrisk	1.000000	fminunc
5232638	1.299383	0.197373	-0.001766	-12.579723	0.629618	31.159447	36.834907	ambigNrisk	1.000000	fminsearch
5602298	0.198277	3.929834	-3.621981	-3.549739	0.895486	13.099477	18.774938	ambigNrisk	1.000000	fminunc
5848881	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
6879388	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
6968509	0.723492	1.720650	-3.673626	-0.000600	0.999982	6.001200	11.676661	ambigNrisk	1.000000	fminsearch
7169159	0.646848	-0.153477	-0.056213	-26.307496	0.225435	58.614993	64.290454	ambigNrisk	1.000000	fminunc
7264683	0.495571	0.357362	-0.385048	-11.733539	0.654532	29.467078	35.142539	ambigNrisk	1.000000	fminunc
7422898	0.178700	1.110822	-0.600993	-26.120473	0.230941	58.240946	63.916407	ambigNrisk	1.000000	fminsearch
7436226	0.926136	0.917057	-0.009057	-21.701209	0.361057	49.402419	55.077880	ambigNrisk	1.000000	fminunc
7506055	0.546741	0.407652	-0.192904	-16.726796	0.507517	39.453593	45.129054	ambigNrisk	1.000000	fminunc
7560831	1.538196	0.464929	-0.053848	-9.212840	0.728749	24.425681	30.101142	ambigNrisk	1.000000	fminunc
8150908	0.571302	-0.035338	-0.164291	-19.679510	0.420581	45.359020	51.034481	ambigNrisk	1.000000	fminunc
8774892	0.924688	-1.102419	-0.021990	-11.278173	0.667939	28.556346	34.231807	ambigNrisk	1.000000	fminunc
8775500	0.391687	1.100154	-56.592146	-0.000200	0.999994	6.000400	11.675861	ambigNrisk	1.000000	fminsearch
9140074	0.621635	0.197529	-0.261771	-7.589061	0.776557	21.178122	26.853583	ambigNrisk	1.000000	fminunc
9216122	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
9532826	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
9667313	0.328603	1.649462	-17.475745	-1.386294	0.959184	8.772589	14.448050	ambigNrisk	1.000000	fminsearch
9782397	0.620908	0.182504	-0.162106	-14.037859	0.586687	34.075718	39.751179	ambigNrisk	1.000000	fminunc
9788316	0.365815	0.004855	-1.459665	-8.252937	0.757011	22.505874	28.181335	ambigNrisk	1.000000	fminunc
9876679	0.824597	0.632310	-0.039261	-13.208612	0.611102	32.417224	38.092685	ambigNrisk	1.000000	fminunc
10064427	0.238563	0.470714	-1.224159	-13.180013	0.611944	32.360025	38.035486	ambigNrisk	1.000000	fminunc
10128554	0.392637	3.860678	-1.545970	-3.300849	0.902814	12.601697	18.277158	ambigNrisk	1.000000	fminunc
10164709	0.225967	0.263500	-110.888156	-0.000000	1.000000	6.000000	11.675461	ambigNrisk	1.000000	fminsearch
11126528	0.328603	1.649462	-17.475745	-1.386294	0.959184	8.772589	14.448050	ambigNrisk	1.000000	fminsearch
11505288	0.391687	1.100154	-56.592146	-0.000200	0.999994	6.000400	11.675861	ambigNrisk	1.000000	fminsearch
11955449	0.645965	0.746153	-0.061412	-21.534413	0.365968	49.068826	54.744287	ambigNrisk	1.000000	fminunc
11981835	0.462496	0.000187	-0.783193	-10.228458	0.698846	26.456916	32.132377	ambigNrisk	1.000000	fminunc
12632678	0.391687	1.100154	-56.592146	-0.000200	0.999994	6.000400	11.675861	ambigNrisk	1.000000	fminsearch
12736257	0.356557	0.432341	-1.076780	-6.940841	0.795643	19.881681	25.557142	ambigNrisk	1.000000	fminunc
12763491	0.178747	-0.181329	-100.697067	-1.386294	0.959184	8.772589	14.448050	ambigNrisk	1.000000	fminsearch
12903031	0.830404	0.891573	-0.045635	-9.346024	0.724827	24.692047	30.367508	ambigNrisk	1.000000	fminunc
13641683	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
13805877	0.968673	-0.362080	-0.010158	-18.361474	0.459388	42.722947	48.398408	ambigNrisk	1.000000	fminunc
13824698	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
14445028	0.404577	3.930000	-0.896801	-4.613336	0.864171	15.226672	20.902133	ambigNrisk	1.000000	fminsearch
14561640	0.832087	-0.035581	-0.122063	-7.558420	0.777459	21.116841	26.792302	ambigNrisk	1.000000	fminunc
14928984	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
15372715	0.848384	0.122301	-0.106092	-8.055741	0.762817	22.111483	27.786944	ambigNrisk	1.000000	fminunc
15444538	0.362931	0.157940	-0.758113	-13.719204	0.596069	33.438408	39.113869	ambigNrisk	1.000000	fminunc
15843584	0.198277	3.929834	-3.621981	-3.549739	0.895486	13.099477	18.774938	ambigNrisk	1.000000	fminunc
16106948	0.392637	3.918727	-1.545970	-3.300848	0.902814	12.601697	18.277158	ambigNrisk	1.000000	fminunc
16557229	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
16661641	0.178700	-1.154944	0.610280	-31.633008	0.068637	69.266015	74.941476	ambigNrisk	1.000000	fminsearch
16804268	0.430272	-0.148308	-0.529773	-17.419207	0.487131	40.838413	46.513874	ambigNrisk	1.000000	fminunc
16895548	0.838875	-0.195817	-0.049548	-12.927987	0.619364	31.855975	37.531436	ambigNrisk	1.000000	fminunc
16997719	0.178700	3.929992	-2.845322	-4.817061	0.858172	15.634122	21.309583	ambigNrisk	1.000000	fminunc
17080701	0.823301	0.550182	-0.007923	-31.005446	0.087114	68.010891	73.686352	ambigNrisk	1.000000	fminunc
17365254	0.522157	0.921212	-0.141210	-18.783629	0.446958	43.567259	49.242720	ambigNrisk	1.000000	fminunc
17805361	0.747074	0.850040	-0.031655	-21.045089	0.380375	48.090178	53.765638	ambigNrisk	1.000000	fminunc
18555969	0.791744	2.059745	-1.788977	-1.386894	0.959166	8.773789	14.449250	ambigNrisk	1.000000	fminsearch
18572507	0.475891	-0.042094	-0.233385	-23.896617	0.296418	53.793234	59.468695	ambigNrisk	1.000000	fminunc
18654500	0.424727	0.057569	-1.207515	-8.863366	0.739038	23.726731	29.402192	ambigNrisk	1.000000	fminunc
18980463	0.784269	0.623436	-0.052466	-12.734960	0.625048	31.469920	37.145380	ambigNrisk	1.000000	fminunc
19081345	0.272231	3.930000	-1.171224	-6.972698	0.794705	19.945395	25.620856	ambigNrisk	1.000000	fminsearch
19095099	0.178700	-0.499900	-183367.223600	-0.004500	0.999868	6.009000	11.684461	ambigNrisk	1.000000	fminsearch
19853659	0.391687	1.100154	-56.592146	-0.000200	0.999994	6.000400	11.675861	ambigNrisk	1.000000	fminsearch
20449865	0.722513	3.930000	-0.158323	-3.260548	0.904000	12.521095	18.196556	ambigNrisk	1.000000	fminsearch
20802900	0.514622	0.436593	-0.240333	-15.802181	0.534740	37.604361	43.279822	ambigNrisk	1.000000	fminunc
